movieId,title,genres,release_date,poster_url,IMDb Rating,Rotten Tomatoes,Director,Lead Actors,Oscars Won,Golden Globes Won,BAFTAs Won,Runtime,Language
17,Sense and Sensibility (1995),Drama|Romance,26-Jan-96,https://m.media-amazon.com/images/M/MV5BY2MyZWJhNjktMWQ2My00OTgwLWI1NjEtYjUzM2M2N2M4Mzc4XkEyXkFqcGc@._V1_SX300.jpg,7.7,97%,Ang Lee,"Emma Thompson, Kate Winslet, James Fleet",1,0,0,136 min,"English, French"
18,Four Rooms (1995),Comedy,25-Dec-95,https://m.media-amazon.com/images/M/MV5BMmNlMjE5YTEtZTU1My00MDc1LTgwNzctNTZlYmJmNTM3ZjYzXkEyXkFqcGc@._V1_SX300.jpg,6.7,13%,"Allison Anders, Alexandre Rockwell, Robert Rodriguez","Tim Roth, Antonio Banderas, Sammi Davis",0,0,0,98 min,English
19,Ace Ventura: When Nature Calls (1995),Comedy,10-Nov-95,https://m.media-amazon.com/images/M/MV5BMjk3ZDUwYTMtYmQyYy00NTg1LWExOTItNTcxODM3NDZiNjMyXkEyXkFqcGc@._V1_SX300.jpg,6.4,21%,Steve Oedekerk,"Jim Carrey, Ian McNeice, Simon Callow",0,0,0,90 min,English
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,22-Nov-95,https://m.media-amazon.com/images/M/MV5BZGIzODJmMGYtMzY2My00ZGJkLTg1YzMtNmY2ZTVlYmI5YzYyXkEyXkFqcGc@._V1_SX300.jpg,5.7,22%,Joseph Ruben,"Wesley Snipes, Woody Harrelson, Jennifer Lopez",0,0,0,110 min,English
21,Get Shorty (1995),Comedy|Crime|Thriller,20-Oct-95,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_SX300.jpg,6.9,89%,Barry Sonnenfeld,"Gene Hackman, Rene Russo, Danny DeVito",0,0,0,105 min,English
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,27-Oct-95,https://m.media-amazon.com/images/M/MV5BY2ZiODRlYWMtOGViYS00ZTNiLTlkMGQtZTAxY2IyMDAzYzU2XkEyXkFqcGc@._V1_SX300.jpg,6.6,76%,Jon Amiel,"Sigourney Weaver, Holly Hunter, Dermot Mulroney",0,0,0,123 min,English
23,Assassins (1995),Action|Crime|Thriller,06-Oct-95,https://m.media-amazon.com/images/M/MV5BYjRmZDUzZTctMzkyMi00ZDY1LTk2MDgtMDI0MTM4ZTYzOWI4XkEyXkFqcGc@._V1_SX300.jpg,6.3,16%,Richard Donner,"Sylvester Stallone, Antonio Banderas, Julianne Moore",0,0,0,133 min,"English, Dutch, Spanish"
24,Powder (1995),Drama|Sci-Fi,27-Oct-95,https://m.media-amazon.com/images/M/MV5BYzBmZjgyNWQtOWYzNS00NTg2LWJjZDktYzE4YTMzMjNiZWVkXkEyXkFqcGc@._V1_SX300.jpg,6.6,50%,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen",0,0,0,111 min,English
25,Leaving Las Vegas (1995),Drama|Romance,09-Feb-96,https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg,7.5,91%,Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands",1,0,0,111 min,"English, Russian"
26,Othello (1995),Drama,19-Jan-96,https://m.media-amazon.com/images/M/MV5BMzJkMzdmMjMtOGVmNC00NTI4LWJjNTMtNGE4ZGMzYjU1ZDk5XkEyXkFqcGc@._V1_SX300.jpg,6.8,68%,Oliver Parker,"Laurence Fishburne, Kenneth Branagh, Irène Jacob",0,0,0,123 min,English
27,Now and Then (1995),Children|Drama,20-Oct-95,https://m.media-amazon.com/images/M/MV5BZjg1Zjg4NjItNDk1My00ZTEwLWJkZjMtOGZiNmE2OTQ1NTI4XkEyXkFqcGc@._V1_SX300.jpg,6.8,33%,Lesli Linka Glatter,"Christina Ricci, Demi Moore, Rosie O'Donnell",0,0,0,102 min,English
28,Persuasion (1995),Drama|Romance,06-Apr-97,https://m.media-amazon.com/images/M/MV5BOGM1Mjk1Y2EtMDBiMy00MDAxLWI0NmEtNzExYjM4NDVmZDZjXkEyXkFqcGc@._V1_SX300.jpg,7.7,87%,Roger Michell,"Amanda Root, Ciarán Hinds, Susan Fleetwood",0,0,5,103 min,English
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,15-Dec-95,https://m.media-amazon.com/images/M/MV5BMTc5YWUxOGUtYWQ2OC00ZTMyLWI5MTktNjNkZjNmZTA1OWYyXkEyXkFqcGc@._V1_SX300.jpg,7.5,80%,"Marc Caro, Jean-Pierre Jeunet","Ron Perlman, Daniel Emilfork, Judith Vittet",0,0,0,112 min,"French, Cantonese"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,22-Dec-95,https://m.media-amazon.com/images/M/MV5BMjExNzU2NDctYTQ4My00MmFkLTljN2UtN2MzYWQ1NTFiNDEyXkEyXkFqcGc@._V1_SX300.jpg,7.1,90%,Yimou Zhang,"Gong Li, Baotian Li, Xiaoxiao Wang",1,0,0,108 min,Mandarin
31,Dangerous Minds (1995),Drama,11-Aug-95,https://m.media-amazon.com/images/M/MV5BODc5ZDI2ZDYtYjZiMy00MzZjLWEwNWUtNTljNDEwYWQ3YjQ5XkEyXkFqcGc@._V1_SX300.jpg,6.5,34%,John N. Smith,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance",0,0,0,99 min,English
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,05-Jan-96,https://m.media-amazon.com/images/M/MV5BMDQwNDY0M2MtOGFmNy00ZjI5LTkzN2ItMzg5M2IwZTZjY2MyXkEyXkFqcGc@._V1_SX300.jpg,8.0,88%,Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt",2,0,0,129 min,"English, French, Latin, Spanish, German"
34,Babe (1995),Children|Drama,04-Aug-95,https://m.media-amazon.com/images/M/MV5BODYxZWZiMTgtMjJhOC00OTE1LTk0MmQtMGFiOGY3ZTAwZGRjXkEyXkFqcGc@._V1_SX300.jpg,6.9,97%,Chris Noonan,"James Cromwell, Magda Szubanski, Christine Cavanaugh",1,0,0,91 min,English
36,Dead Man Walking (1995),Crime|Drama,02-Feb-96,https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_SX300.jpg,7.5,95%,Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky",1,0,0,122 min,English
38,It Takes Two (1995),Children|Comedy,17-Nov-95,https://m.media-amazon.com/images/M/MV5BMTQ3YTE5NmItNTRjNC00NjdlLTgwNmYtNDRkNmJiZjZiNGE3XkEyXkFqcGc@._V1_SX300.jpg,5.9,8%,Andy Tennant,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen",0,0,0,101 min,English
39,Clueless (1995),Comedy|Romance,19-Jul-95,https://m.media-amazon.com/images/M/MV5BMTgwYjQ1NDktOTcwNi00MWZhLTliYWQtZDg5NjZhY2U5ZTNlXkEyXkFqcGc@._V1_SX300.jpg,6.9,N/A,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy",0,0,0,97 min,"English, Spanish"
40,"Cry, the Beloved Country (1995)",Drama,15-Dec-95,https://m.media-amazon.com/images/M/MV5BZjQ1M2Y2ZTgtN2U3OS00YTUxLTgwZmUtNjk1YTdjYTdmYWQzXkEyXkFqcGc@._V1_SX300.jpg,6.8,85%,Darrell Roodt,"Richard Harris, James Earl Jones, Vusi Kunene",0,0,0,106 min,English
41,Richard III (1995),Drama|War,29-Dec-95,https://m.media-amazon.com/images/M/MV5BMWZjODNlYzAtNWIxZC00ZWRkLWFlMjctZGVlMDYxZTU1MGM1XkEyXkFqcGc@._V1_SX300.jpg,7.3,96%,Richard Loncraine,"Ian McKellen, Annette Bening, Christopher Bowen",2,0,0,104 min,English
42,Dead Presidents (1995),Action|Crime|Drama,06-Oct-95,https://m.media-amazon.com/images/M/MV5BNTUzZTczZGItNjY4My00YTIyLTgyODYtNjFmNDY2ZWJlNTlmXkEyXkFqcGc@._V1_SX300.jpg,6.9,47%,"Albert Hughes, Allen Hughes","Larenz Tate, Keith David, Chris Tucker",0,0,0,119 min,English
43,Restoration (1995),Drama,02-Feb-96,https://m.media-amazon.com/images/M/MV5BOWZjM2NjM2EtMDkyNi00ODFiLWIwMTktM2JmMzUxODQ3YmRlXkEyXkFqcGc@._V1_SX300.jpg,6.6,71%,Michael Hoffman,"Robert Downey Jr., Sam Neill, David Thewlis",2,0,0,117 min,"English, Latin"
44,Mortal Kombat (1995),Action|Adventure|Fantasy,18-Aug-95,https://m.media-amazon.com/images/M/MV5BNjQyYjJjMzEtZTYzYy00ZjFmLTlkNTktNDI5ZjIwNTAxOWE0XkEyXkFqcGc@._V1_SX300.jpg,5.8,47%,Paul W.S. Anderson,"Christopher Lambert, Robin Shou, Linden Ashby",0,0,0,101 min,English
45,To Die For (1995),Comedy|Drama|Thriller,06-Oct-95,https://m.media-amazon.com/images/M/MV5BZWJlODViYTUtMzY3MS00ZDRlLTkzODQtMDdiOTBiN2E0MDA5XkEyXkFqcGc@._V1_SX300.jpg,6.8,88%,Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix",0,0,1,106 min,English
46,How to Make an American Quilt (1995),Drama|Romance,06-Oct-95,https://m.media-amazon.com/images/M/MV5BZjJhNDc5MDItNGQ3My00ODgxLWE0ZTEtZDYwMmUwNzRmMDZiXkEyXkFqcGc@._V1_SX300.jpg,6.3,62%,Jocelyn Moorhouse,"Winona Ryder, Ellen Burstyn, Anne Bancroft",0,0,0,117 min,English
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,22-Sep-95,https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_SX300.jpg,8.6,84%,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey",1,0,0,127 min,English
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,23-Jun-95,https://m.media-amazon.com/images/M/MV5BY2ZlNTUxM2MtYmJhYS00Y2E5LTlmYTItZDhlNWJmMmRiYTYzXkEyXkFqcGc@._V1_SX300.jpg,6.7,58%,"Mike Gabriel, Eric Goldberg","Mel Gibson, Linda Hunt, Christian Bale",2,0,0,81 min,"English, Algonquin"
49,When Night Is Falling (1995),Drama|Romance,17-Nov-95,https://m.media-amazon.com/images/M/MV5BZjMxMDYyNjItYjAwYi00NmExLWFiOTEtZWYzOGUzNmY3NmI2XkEyXkFqcGc@._V1_SX300.jpg,6.5,56%,Patricia Rozema,"Pascale Bussières, Rachael Crawford, Henry Czerny",0,0,0,94 min,English
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,16-Aug-95,https://m.media-amazon.com/images/M/MV5BOTE5MDUxZDUtZWZmZC00NDVmLWFhOGQtNWI2YTc4NzY3MGQ0XkEyXkFqcGc@._V1_SX300.jpg,8.5,87%,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri",2,0,0,106 min,"English, Hungarian, Spanish, French"
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,10-Nov-95,https://m.media-amazon.com/images/M/MV5BNGY4MWQ2Y2QtMzliZC00NTc3LWJmMGYtMzUxYWI0YTFhYTY4XkEyXkFqcGc@._V1_SX300.jpg,7.0,78%,Woody Allen,"Woody Allen, Mira Sorvino, Pamela Blair",1,0,0,95 min,"English, Latin"
53,Lamerica (1994),Adventure|Drama,04-Oct-95,https://m.media-amazon.com/images/M/MV5BMzgzODMwMWMtY2RhMi00OGEwLWFmNjktZmMxMTI1MzUzMTk1XkEyXkFqcGc@._V1_SX300.jpg,7.4,92%,Gianni Amelio,"Enrico Lo Verso, Michele Placido, Piro Milkani",0,0,0,116 min,"German, Albanian, Italian"
54,"Big Green, The (1995)",Children|Comedy,29-Sep-95,https://m.media-amazon.com/images/M/MV5BNzk0YTczMGQtNjc3Yi00ZmY4LTljYTctMTRkNjlmNDBkYmEwXkEyXkFqcGc@._V1_SX300.jpg,5.5,0%,Holly Goldberg Sloan,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders",0,0,0,100 min,English
55,Georgia (1995),Drama,08-Dec-95,https://m.media-amazon.com/images/M/MV5BZWJiNjMwYzMtZWU5Yi00NGI0LTg5NGYtZDY4MWRiYjEwYTYzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,6.5,81%,Ulu Grosbard,"Jennifer Jason Leigh, Mare Winningham, Ted Levine",1,0,0,115 min,"English, Hebrew"
57,Home for the Holidays (1995),Drama,03-Nov-95,https://m.media-amazon.com/images/M/MV5BMDI1ZmZhMDQtMDZkMC00M2VlLWJjZDMtYmEyMWRiMDIwZGJiXkEyXkFqcGc@._V1_SX300.jpg,6.6,63%,Jodie Foster,"Holly Hunter, Anne Bancroft, Robert Downey Jr.",0,0,0,103 min,English
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,22-Mar-96,https://m.media-amazon.com/images/M/MV5BMTE1OTJkMmEtZDBmNC00ZTBiLWEwYTQtODEzNGU2OTAxZmU5XkEyXkFqcGc@._V1_SX300.jpg,7.8,94%,"Michael Radford, Massimo Troisi","Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta",1,0,0,108 min,"Italian, Spanish"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,14-Jul-95,https://m.media-amazon.com/images/M/MV5BNmIzNTIzYTEtYWM5Zi00NmRiLTk4NzYtYTRiZmI0OWZkYjBhXkEyXkFqcGc@._V1_SX300.jpg,6.0,70%,Frank Oz,"Hal Scardino, Litefoot, Lindsay Crouse",0,0,0,96 min,English
61,Eye for an Eye (1996),Drama|Thriller,12-Jan-96,https://m.media-amazon.com/images/M/MV5BYzg3MDc5ZWEtMTc3Ny00YWEzLTlmMTgtMjk3NGJjMmNjOTYyXkEyXkFqcGc@._V1_SX300.jpg,6.2,N/A,John Schlesinger,"Sally Field, Kiefer Sutherland, Ed Harris",0,0,0,101 min,"English, French, Spanish, Korean"
62,Mr. Holland's Opus (1995),Drama,19-Jan-96,https://m.media-amazon.com/images/M/MV5BZGJkOTFkYjEtNzg5Zi00NWIyLTkyN2QtMDExNjk1NTg1NTQ1XkEyXkFqcGc@._V1_SX300.jpg,7.3,75%,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas",1,0,0,144 min,"English, American Sign "
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,12-Jan-96,https://m.media-amazon.com/images/M/MV5BZGM0NTAyMWEtNDBjNi00MjkwLWFhM2UtNDExNmVmMzEzNzExXkEyXkFqcGc@._V1_SX300.jpg,6.5,32%,Paris Barclay,"Shawn Wayans, Marlon Wayans, Keenen Ivory Wayans",0,0,0,89 min,"English, Spanish"
64,Two if by Sea (1996),Comedy|Romance,12-Jan-96,https://m.media-amazon.com/images/M/MV5BYzRjYWVlNzEtZDRhMS00OGExLTk1MGEtOWU0NjRkM2ViNmYyXkEyXkFqcGc@._V1_SX300.jpg,5.3,13%,Bill Bennett,"Sandra Bullock, Denis Leary, Stephen Dillane",0,0,0,96 min,English
65,Bio-Dome (1996),Comedy,12-Jan-96,https://m.media-amazon.com/images/M/MV5BNGMxNGI5YWEtNzI5Yi00ZmY0LTk2NWQtMjk3MTRlNGZmMmQ1XkEyXkFqcGc@._V1_SX300.jpg,4.4,4%,Jason Bloom,"Pauly Shore, Stephen Baldwin, William Atherton",0,0,0,88 min,English
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,12-Jan-96,https://m.media-amazon.com/images/M/MV5BMjkxZDdlMTQtZGZlZC00ZWNiLWFiYmYtY2JlODgwMTE1YTY3XkEyXkFqcGc@._V1_SX300.jpg,2.6,18%,Farhad Mann,"Patrick Bergin, Matt Frewer, Austin O'Brien",0,0,0,93 min,English
68,French Twist (Gazon maudit) (1995),Comedy|Romance,19-Jan-96,https://m.media-amazon.com/images/M/MV5BMTY2ZDdlY2YtYzdkNi00MzcxLTgxYjMtMmQ1ZjMyNTBmYTU0XkEyXkFqcGc@._V1_SX300.jpg,6.4,58%,Josiane Balasko,"Victoria Abril, Josiane Balasko, Alain Chabat",0,0,0,104 min,"French, Spanish, English"
69,Friday (1995),Comedy,26-Apr-95,https://m.media-amazon.com/images/M/MV5BMWI3MmM2MTItN2MxZS00Y2NhLWE5ZWEtMzU3YWNiNmU3NmFmXkEyXkFqcGc@._V1_SX300.jpg,7.2,N/A,F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long",0,0,0,91 min,English
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,19-Jan-96,https://m.media-amazon.com/images/M/MV5BZGNjMWMwNWEtYTQ2YS00N2E5LTg5ZWYtMDgzM2UxMTE1ZTE4XkEyXkFqcGc@._V1_SX300.jpg,7.2,64%,Robert Rodriguez,"Harvey Keitel, George Clooney, Juliette Lewis",0,0,0,108 min,"English, Spanish"
71,Fair Game (1995),Action,03-Nov-95,https://m.media-amazon.com/images/M/MV5BMDc2MzAxOTktYWQ3Yy00NzJhLWFkNmQtN2QzMDFmMWYyODUxXkEyXkFqcGc@._V1_SX300.jpg,4.4,12%,Andrew Sipes,"William Baldwin, Cindy Crawford, Steven Berkoff",0,0,0,91 min,"English, Russian"
72,Kicking and Screaming (1995),Comedy|Drama,06-Oct-95,https://m.media-amazon.com/images/M/MV5BNDY3NjUyODMtMGY5OS00M2Q1LTllOGItZGQ0YTFiNjhhNDZiXkEyXkFqcGc@._V1_SX300.jpg,6.7,56%,Noah Baumbach,"Josh Hamilton, Eric Stoltz, Samuel Gould",0,0,0,96 min,English
73,"Misérables, Les (1995)",Drama|War,03-Nov-95,https://m.media-amazon.com/images/M/MV5BNmYyZjA0YmEtNGU5Ni00YzVjLWJkMTAtZmU0NGI2Y2Y3ODQwXkEyXkFqcGc@._V1_SX300.jpg,7.4,81%,Claude Lelouch,"Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines",0,0,1,175 min,"French, German, English"
74,Bed of Roses (1996),Drama|Romance,26-Jan-96,https://m.media-amazon.com/images/M/MV5BZTE2NjhiZDYtNDRjNS00NDY4LWI3ZmMtMWQyY2FlMmIxYzRlXkEyXkFqcGc@._V1_SX300.jpg,6.1,19%,Michael Goldenberg,"Christian Slater, Mary Stuart Masterson, Pamela Adlon",0,0,0,87 min,English
75,Big Bully (1996),Comedy|Drama,26-Jan-96,https://m.media-amazon.com/images/M/MV5BYTFmNTI5MGItMGMxZi00NjM2LWE0ZTUtMzQyMmVlOWMwZTJkXkEyXkFqcGc@._V1_SX300.jpg,4.8,0%,Steve Miner,"Rick Moranis, Tom Arnold, Julianne Phillips",0,0,0,90 min,English
76,Screamers (1995),Action|Sci-Fi|Thriller,26-Jan-96,https://m.media-amazon.com/images/M/MV5BMmVkMjcwMjktOGY2MC00ZGFkLWI1NWQtYTJjNTk2N2U0NWZmXkEyXkFqcGc@._V1_SX300.jpg,6.3,27%,Christian Duguay,"Peter Weller, Roy Dupuis, Jennifer Rubin",0,0,0,108 min,English
77,Nico Icon (1995),Documentary,16-Nov-95,https://m.media-amazon.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@._V1_SX300.jpg,7.2,82%,Susanne Ofteringer,"Nico, Tina Aumont, Christian Päffgen",0,0,0,67 min,"English, German"
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,16-Nov-95,https://m.media-amazon.com/images/M/MV5BNGNjMTcxNzgtM2JiYS00MDc0LWEwYmItOTY1M2JkMzc5MDE4XkEyXkFqcGc@._V1_SX300.jpg,6.3,76%,Sean Penn,"Jack Nicholson, David Morse, Anjelica Huston",0,0,0,111 min,English
79,"Juror, The (1996)",Drama|Thriller,02-Feb-96,https://m.media-amazon.com/images/M/MV5BNDVjZDlkZWMtZjg3Mi00OTc3LWI2YmYtMjYyZmVjZDRjN2E0XkEyXkFqcGc@._V1_SX300.jpg,5.7,22%,Brian Gibson,"Demi Moore, Alec Baldwin, Joseph Gordon-Levitt",0,0,0,118 min,"English, Spanish"
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,27-Nov-95,https://m.media-amazon.com/images/M/MV5BM2E0OGRkOGQtMzhiOC00NDUxLThjMzYtNTM4ZTNhYWU1NmQ1XkEyXkFqcGc@._V1_SX300.jpg,7.6,83%,Jafar Panahi,"Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadre Orafaiy",0,0,0,85 min,Persian
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,01-Dec-95,https://m.media-amazon.com/images/M/MV5BMDEzMzQ0YTctYTg0Ny00Y2MxLWE1ZjAtNzQwMjVmNWQxZTIwXkEyXkFqcGc@._V1_SX300.jpg,6.7,37%,Gary Fleder,"Andy Garcia, Christopher Walken, Christopher Lloyd",0,0,0,115 min,English
82,Antonia's Line (Antonia) (1995),Comedy|Drama,02-Feb-96,https://m.media-amazon.com/images/M/MV5BYzAxYmM1YzQtNDhmOS00N2UxLTljNTctOGE0ZDI3NWIxMTYwXkEyXkFqcGc@._V1_SX300.jpg,7.4,69%,Marleen Gorris,"Willeke van Ammelrooy, Jan Decleir, Veerle van Overloop",1,0,0,102 min,Dutch
